glb,candidate,status,repair_s,topo_faces,topo_verts,topo_boundary_edges,topo_nonmanifold_edges,topo_watertight,topo_winding,topo_components,topo_euler,topo_nonmanifold_rate,f1@0.01,p@0.01,r@0.01,f1@0.005,curv_wass,chamfer_pct,normal_consistency,detail_s,wall_s
model_0056.glb,baseline,ok,0.0,24288,18257,10546,69,False,True,746,909,0.00165721971370929,0.8176414113613296,0.8203,0.815,0.3066994783170742,0.0389944170668304,0.3388437688092791,0.9637983722681368,1.079,2.5
model_0056.glb,trimesh_gentle,ok,0.074,24288,18257,10546,69,False,True,746,909,0.00165721971370929,0.8030945087779833,0.801,0.8052,0.29344992332544995,0.012634813177673697,0.33760706043502087,0.9645308075531966,1.195,3.43
model_0056.glb,largest_component,ok,0.776,927,515,103,0,False,True,1,0,0.0,0.2074137345510936,0.8116,0.1189,0.10537878787848085,0.3745721451417954,7.04767252629699,0.8133796012015898,3.375,4.79
model_0056.glb,components_keep,ok,0.869,12847,8121,3361,0,False,True,42,17,0.0,0.7280524532148838,0.8049,0.6646,0.2793536123027909,0.3052483124267696,0.5852735392627932,0.9385954234857494,1.035,2.61
model_0056.glb,open3d_clean,ok,2.921,23925,11977,147,1,False,False,25,-58,2.7808676307007788e-05,0.8028368437436613,0.7996,0.8061,0.30239996693071697,0.16275459392436736,0.3393075018039709,0.9633966862270498,1.044,4.97
model_0056.glb,voxel_96,ok,0.436,63282,31449,0,0,True,True,1,-192,0.0,0.4268498535780405,0.4266,0.4271,0.0155999999995,0.3564825351768913,0.8197798541596839,0.865029198528055,1.468,2.63
model_0056.glb,voxel_160,ok,1.362,178086,88915,0,0,True,True,1,-128,0.0,0.6657998648237715,0.6661,0.6655,0.08908103254719933,0.2715710396596483,0.5729763499060951,0.8781061496688882,2.43,4.64
model_0056.glb,voxel_224,ok,2.696,351754,175649,0,0,True,True,1,-228,0.0,0.7235495819219656,0.7241,0.723,0.17289976865190024,0.23313982863000451,0.47933719486745047,0.8838429150929183,3.674,8.13
model_0056.glb,poisson_8,ok,18.012,241556,119687,146,873,False,True,607,-291,0.0024147106496207825,0.8023499719568752,0.8022,0.8025,0.28824270598388857,0.5358560311541375,0.3516239331686016,0.9318583221773358,2.808,22.36
model_0056.glb,poisson_9,ok,19.153,237300,117575,150,859,False,True,589,-291,0.0024185873647815386,0.801305821425843,0.8073,0.7954,0.2804827450975393,0.6118906360040232,0.3515159328412293,0.9278725078066045,2.873,23.58
model_0057.glb,baseline,ok,0.0,668,591,420,2,False,True,38,49,0.001652892561983471,0.9998999999995,0.9999,0.9999,0.9226490218387672,0.027532701559114595,0.12543169042900065,0.9822804119281252,0.726,2.23
model_0057.glb,trimesh_gentle,ok,0.004,668,591,420,2,False,True,38,49,0.001652892561983471,0.9999999999995,1.0,1.0,0.9135999562166628,0.03187258078273513,0.1257076830217055,0.982319266393787,0.657,1.2
model_0057.glb,largest_component,ok,0.042,186,130,74,0,False,True,1,0,0.0,0.5189573459711796,1.0,0.3504,0.43266278198582137,0.2846315364571976,1.123576384188048,0.8535087760545933,0.822,1.38
model_0057.glb,components_keep,ok,0.075,617,518,385,0,False,True,18,17,0.0,0.999949997499375,1.0,0.9999,0.9208303849699078,0.24679961491945177,0.12712067915630915,0.9808997025029559,0.688,1.32
model_0057.glb,open3d_clean,ok,2.583,648,327,6,0,False,False,2,0,0.0,0.9999999999995,1.0,1.0,0.9223488046831884,0.3904811607635282,0.1257456234549018,0.9821229704316186,0.59,4.14
model_0057.glb,voxel_96,ok,0.166,8212,4108,0,0,True,True,1,2,0.0,0.9034207468874669,0.8865,0.921,0.21041119810151743,0.43735340584248034,0.606809319144569,0.9034381897756402,0.894,2.19
model_0057.glb,voxel_160,ok,0.45,20240,10122,0,0,True,True,1,2,0.0,0.9997499374838711,0.9995,1.0,0.6626006186339777,0.42776919734137187,0.322489828933625,0.9310087954930841,0.997,2.01
model_0057.glb,voxel_224,ok,0.947,39484,19744,0,0,True,True,1,2,0.0,0.9996499974986247,0.9997,0.9996,0.754280368504272,0.42828916016294016,0.3009658668288581,0.9360941659276318,1.239,3.48
model_0057.glb,poisson_8,ok,15.36,40473,20314,169,0,False,True,1,-7,0.0,0.9994496973330335,1.0,0.9989,0.9178164405943684,0.4080511123386277,0.1317042458850265,0.974498028534207,1.073,17.49
model_0057.glb,poisson_9,ok,20.477,163457,81804,163,0,False,True,1,-6,0.0,0.9999999999995,1.0,1.0,0.9163999017891115,0.4246221714215309,0.12728183854938588,0.9827483068163871,2.402,24.7
model_0058.glb,baseline,ok,0.0,12689,10406,7007,39,False,True,510,597,0.0017334874211040981,0.894191847460918,0.8969,0.8915,0.4309994199530963,0.030772888038837896,0.2712709490333608,0.9570056354023758,0.913,2.83
model_0058.glb,trimesh_gentle,ok,0.026,12689,10406,7007,39,False,True,510,597,0.0017334874211040981,0.8918316084538365,0.8959,0.8878,0.41814951572352255,0.045635758365627214,0.2715944280158954,0.956373346361753,0.887,2.02
model_0058.glb,largest_component,ok,0.501,371,260,151,0,False,True,1,-1,0.0,0.10532010055732284,0.8588,0.0561,0.0941271676298563,0.42012446318094165,11.24551612462469,0.7672864667701307,3.032,4.15
model_0058.glb,components_keep,ok,0.619,6930,4859,2740,0,False,True,45,24,0.0,0.7990398561948806,0.885,0.7283,0.40195490512166443,0.32226864389150345,0.5174144973542015,0.9274789264783242,0.873,2.11
model_0058.glb,open3d_clean,ok,2.797,12482,6247,76,0,False,False,13,-32,0.0,0.889526726996296,0.8941,0.885,0.4216800569119971,0.20812347594250707,0.2725666420543041,0.9559718945138405,0.824,4.57
model_0058.glb,voxel_96,ok,0.265,39614,19687,0,0,True,True,1,-120,0.0,0.5338022290900686,0.5389,0.5288,0.026690636703620024,0.34107981989705505,0.7954424944184281,0.8491884802884277,1.204,2.71
model_0058.glb,voxel_160,ok,0.763,111258,55469,0,0,True,True,1,-160,0.0,0.7963693785305734,0.8067,0.7863,0.13077790519827684,0.26944052219212244,0.5348835060166246,0.8647991046052634,1.706,3.28
model_0058.glb,voxel_224,ok,1.636,220824,110150,0,0,True,True,1,-262,0.0,0.8483188166651846,0.859,0.8379,0.2608944806434249,0.2555379344849443,0.4330562378994939,0.8732688422283803,2.54,5.15
model_0058.glb,poisson_8,ok,16.855,294874,147457,6,18,False,True,33,35,4.069672798307016e-05,0.8959465818400044,0.8942,0.8977,0.41174732240387163,0.1894064485179147,0.2752017523741878,0.9536236555848157,3.267,21.88
model_0058.glb,poisson_9,ok,18.987,279486,139793,0,27,False,True,56,77,6.44080896560608e-05,0.8968469171586035,0.89,0.9038,0.42344569606751276,0.18344487814337626,0.27574891569994814,0.9513375513177352,2.878,24.23
model_0059.glb,baseline,ok,0.0,13219,10691,6685,69,False,True,687,808,0.002986754393558999,0.8951453052556022,0.8931,0.8972,0.4318479101534887,0.030197624116347827,0.26723335192595576,0.9499300443226548,0.993,3.19
model_0059.glb,trimesh_gentle,ok,0.026,13219,10691,6685,69,False,True,687,808,0.002986754393558999,0.8906457306456573,0.8926,0.8887,0.43004790140631316,0.037305691341425105,0.26800713248007085,0.9482208941695044,1.008,2.72
model_0059.glb,largest_component,ok,0.651,1635,895,153,0,False,True,1,1,0.0,0.23599837837815058,0.9002,0.1358,0.1807292817676115,0.37711564920987894,7.375068686478375,0.8176673841208604,2.631,3.92
model_0059.glb,components_keep,ok,0.732,7354,4816,2280,0,False,True,31,-1,0.0,0.8253407795645369,0.8918,0.7681,0.40864121241700235,0.4527604669687609,0.41444089767655706,0.9218919885190786,0.924,2.33
model_0059.glb,open3d_clean,ok,2.698,12909,6441,90,7,False,False,21,-53,0.00036076895325465135,0.896879384546272,0.8926,0.9012,0.42159978652701424,0.18302597949861282,0.26805157947495506,0.9491265166790166,0.808,4.44
model_0059.glb,voxel_96,ok,0.269,37182,18549,0,0,True,True,1,-42,0.0,0.514249761788513,0.5146,0.5139,0.028972068965017726,0.3341336279739877,0.808613375206209,0.8564708009003827,1.196,2.67
model_0059.glb,voxel_160,ok,0.8,104366,52073,0,0,True,True,1,-110,0.0,0.800838504275672,0.8104,0.7915,0.12334657478669094,0.26958610959294954,0.5393661806744015,0.8733055357611189,1.61,3.19
model_0059.glb,voxel_224,ok,1.588,206658,103165,0,0,True,True,1,-164,0.0,0.8582998135844936,0.8579,0.8587,0.2507985645928014,0.2828856086792927,0.4308317700431761,0.880828016019009,2.4,4.9
model_0059.glb,poisson_8,ok,14.997,171782,85946,42,13,False,True,36,47,5.044997496905088e-05,0.8964476546372379,0.895,0.8979,0.4290486889634902,0.17511681376085375,0.27270767755987646,0.9488007439409469,2.097,18.5
model_0059.glb,poisson_9,ok,16.805,158278,79181,30,13,False,True,33,40,5.4755516618299294e-05,0.8909870258131923,0.8876,0.8944,0.4278915634489041,0.24127562678579006,0.2730368701996448,0.9480216457770179,1.955,20.79
model_0060.glb,baseline,ok,0.0,18069,15912,11407,54,False,True,1039,1228,0.0016487039355173572,0.8627973922109047,0.8643,0.8613,0.38209683328921473,0.036910953096768034,0.2915168527918028,0.9379309351817237,1.085,3.66
model_0060.glb,trimesh_gentle,ok,0.07,18069,15912,11407,54,False,True,1039,1228,0.0016487039355173572,0.8595435751260196,0.8572,0.8619,0.3800860826093396,0.02735141030758248,0.288910261799681,0.9379211008556727,1.101,3.49
model_0060.glb,largest_component,ok,1.074,683,407,129,0,False,True,1,1,0.0,0.14359360382884412,0.8408,0.0785,0.1150719362184167,0.5768398048905143,7.794242017390118,0.8053771869169267,2.661,5.08
model_0060.glb,components_keep,ok,1.09,5690,3944,2170,0,False,True,29,14,0.0,0.693077837610537,0.84,0.5899,0.342562656204094,0.5505282745611579,0.7450529605214028,0.8894627176472707,0.985,3.37
model_0060.glb,open3d_clean,ok,2.787,17710,8819,140,5,False,False,25,-101,0.0001877581674802854,0.8661977372426308,0.8648,0.8676,0.37254355120068106,0.2392196376922215,0.29211929575533524,0.9382116797732377,0.9,4.66
model_0060.glb,voxel_96,ok,0.298,45192,22490,0,0,True,True,1,-106,0.0,0.4875111885955415,0.4919,0.4832,0.0241325051754838,0.3607190313040929,0.8236553904624689,0.8371740029910719,1.319,2.94
model_0060.glb,voxel_160,ok,0.889,126700,63234,0,0,True,True,1,-116,0.0,0.7581001121145168,0.7643,0.752,0.11854981020616386,0.33203385743123764,0.5500537111368331,0.8589777662627298,1.857,3.92
