glb,candidate,status,repair_s,topo_faces,topo_verts,topo_boundary_edges,topo_nonmanifold_edges,topo_watertight,topo_winding,topo_components,topo_euler,topo_nonmanifold_rate,f1@0.01,p@0.01,r@0.01,f1@0.005,curv_wass,chamfer_pct,normal_consistency,detail_s,wall_s
model_0060.glb,voxel_224,ok,1.848,250222,124901,0,0,True,True,1,-210,0.0,0.8048917075589757,0.8118,0.7981,0.23239961273616092,0.30774846224776986,0.4488792468598703,0.8688588849227801,2.815,6.25
model_0060.glb,poisson_8,ok,15.769,210993,105516,107,44,False,True,50,10,0.00013902097636959358,0.8683479011914157,0.8697,0.867,0.37594946136404317,0.23530554377708096,0.29467437547488473,0.9337530813448052,2.387,20.15
model_0060.glb,poisson_9,ok,18.186,177984,89000,104,45,False,True,44,1,0.00016855005749429739,0.8623493477121457,0.8631,0.8616,0.38099682414648167,0.22941455878208708,0.29544782897328453,0.9311581585137776,2.153,22.41
model_0001.glb,baseline,ok,0.0,7727,6100,3773,18,False,True,297,368,0.001337395051638309,0.9761999897556974,0.9763,0.9761,0.5977783205080313,0.03838842960250653,0.2101517083903684,0.9551279432406357,0.909,2.83
model_0001.glb,trimesh_gentle,ok,0.015,7727,6100,3773,18,False,True,297,368,0.001337395051638309,0.9742966745350641,0.9761,0.9725,0.5965454362579863,0.03344447941163723,0.21060490333204196,0.9549341881533,0.824,1.88
model_0001.glb,largest_component,ok,0.297,302,184,64,0,False,True,1,1,0.0,0.06344875024988658,0.9674,0.0328,0.05897846250580258,0.31544322613001996,13.369235714734977,0.7176834705058256,5.759,6.65
model_0001.glb,components_keep,ok,0.421,5415,3874,2203,0,False,True,71,65,0.0,0.908666622842559,0.9738,0.8517,0.5605398700947054,0.3216803739486058,0.3213195851748994,0.9256360780329413,0.881,2.62
model_0001.glb,open3d_clean,ok,2.626,7574,3806,92,4,False,False,20,-24,0.00035075412136092597,0.9741979880922941,0.9728,0.9756,0.5851499615478208,0.22823408121913868,0.2113071664754319,0.9551066459688411,0.703,4.22
model_0001.glb,voxel_96,ok,0.164,26744,13338,0,0,True,True,2,-34,0.0,0.684354178842282,0.6788,0.69,0.04304529616674744,0.32298306352866724,0.7411618985802216,0.842573863222828,1.053,2.51
model_0001.glb,voxel_160,ok,0.423,71712,35818,0,0,True,True,2,-38,0.0,0.926689629868929,0.9298,0.9236,0.2066806482820351,0.2415556724429,0.4898257134978839,0.8686498513490312,1.422,3.23
model_0001.glb,voxel_224,ok,0.963,139370,69649,0,0,True,True,2,-36,0.0,0.9525973126175978,0.9542,0.951,0.3964997730133714,0.2613564150701288,0.38573453847325073,0.8764402116201,2.024,3.8
model_0001.glb,poisson_8,ok,17.228,308854,154431,0,0,True,True,2,4,0.0,0.9733495659315902,0.974,0.9727,0.5961995806771249,0.21579660999324468,0.21278846131618595,0.9599250262888789,3.313,22.82
model_0001.glb,poisson_9,ok,17.101,309460,154734,0,0,True,True,2,4,0.0,0.9749377916811248,0.9715,0.9784,0.5995878418940964,0.2525976201953656,0.212971143492051,0.9595179081480346,3.415,22.89
model_0010.glb,baseline,ok,0.0,8041,5607,2859,8,False,True,143,165,0.0005933397611807462,0.9176490165090624,0.9186,0.9167,0.45904171658810694,0.01725608972390142,0.2521314965431524,0.9824621511007336,0.906,2.43
model_0010.glb,trimesh_gentle,ok,0.015,8041,5607,2859,8,False,True,143,165,0.0005933397611807462,0.915147025077356,0.9168,0.9135,0.46469862276687685,0.013291433046434957,0.25348199997571585,0.9814166014470663,0.887,2.19
model_0010.glb,largest_component,ok,0.147,543,317,89,0,False,True,1,1,0.0,0.19311731358005618,0.9044,0.1081,0.17479036186469246,0.2177884711096065,10.035436767671825,0.7810306803920647,2.249,2.98
model_0010.glb,components_keep,ok,0.205,6185,3933,1623,0,False,True,30,29,0.0,0.8857976207921938,0.9174,0.8563,0.44922972521921317,0.11444074795089872,0.3223923721085216,0.9653190639665863,0.854,2.32
model_0010.glb,open3d_clean,ok,2.626,7988,3994,32,1,False,False,7,-15,8.33541718763024e-05,0.920396860060343,0.9221,0.9187,0.4560996491992369,0.16877110422060704,0.25336799444414637,0.9814500231183252,0.701,4.28
model_0010.glb,voxel_96,ok,0.232,35358,17649,0,0,True,True,1,-30,0.0,0.6151609720411124,0.6103,0.6201,0.03904225352062686,0.3357322566103463,0.7562273945857342,0.883781428817349,1.152,2.64
model_0010.glb,voxel_160,ok,0.678,97798,48867,0,0,True,True,1,-32,0.0,0.8460376528979224,0.8559,0.8364,0.16239113300442617,0.2644715430540846,0.511134412757068,0.8945275844760425,1.612,3.68
model_0010.glb,voxel_224,ok,1.39,191176,95554,0,0,True,True,1,-34,0.0,0.8858905068287132,0.8888,0.883,0.30839987029781385,0.220525284698942,0.41046732516985124,0.8986454433008029,2.299,4.6
model_0010.glb,poisson_8,ok,17.438,404176,202082,0,0,True,True,1,-6,0.0,0.9183989111493257,0.9174,0.9194,0.4559495558718545,0.1671297635640045,0.25348820662454435,0.9802849624789736,4.071,24.25
model_0010.glb,poisson_9,ok,16.706,408520,204254,0,3,False,True,4,-3,4.895745107926701e-06,0.9224997289967899,0.922,0.923,0.4631454604334847,0.15489265846389788,0.25414495044772867,0.9798619129480302,3.886,23.19
model_0020.glb,baseline,ok,0.0,11767,10494,7495,68,False,True,736,931,0.0031879981247069857,0.9107857495740733,0.9032,0.9185,0.4435925166229645,0.019264894588239566,0.26234482189035174,0.9517887302963248,0.99,3.26
model_0020.glb,trimesh_gentle,ok,0.03,11767,10494,7495,68,False,True,736,931,0.0031879981247069857,0.9125999999994999,0.9126,0.9126,0.4467949641892941,0.01875299853670795,0.2611484303183473,0.9518754440533794,0.925,2.31
model_0020.glb,largest_component,ok,0.723,267,199,133,0,False,True,1,-1,0.0,0.08777201791844175,0.9138,0.0461,0.0623197494966175,0.5241828582220827,10.717013701710417,0.721903905516212,3.289,4.59
model_0020.glb,components_keep,ok,0.835,4992,3711,2356,0,False,True,46,37,0.0,0.7783087958573099,0.8954,0.6883,0.4082257773437285,0.45702163633663223,0.512216093442922,0.9111741451936202,0.886,2.4
model_0020.glb,open3d_clean,ok,2.457,11438,5719,78,3,False,False,15,-36,0.00017448961786773688,0.912199956149467,0.9124,0.912,0.4457910273660321,0.3170588623093996,0.2609823121073032,0.951862531510472,0.777,4.13
model_0020.glb,voxel_96,ok,0.25,36308,18072,0,0,True,True,1,-82,0.0,0.542923163321172,0.5529,0.5333,0.0333997005983024,0.43403295130500286,0.8110634434913131,0.8270999063775859,1.146,2.02
model_0020.glb,voxel_160,ok,0.736,103844,51758,0,0,True,True,1,-164,0.0,0.8124731176176104,0.8291,0.7965,0.14059886201941463,0.37432829942084817,0.5364742365479146,0.8508229037659332,1.677,3.14
model_0020.glb,voxel_224,ok,1.496,206726,103025,0,0,True,True,1,-338,0.0,0.863059668635811,0.869,0.8572,0.2700459174221995,0.35415331118207205,0.4315670212801475,0.8600516398154062,2.441,4.89
model_0020.glb,poisson_8,ok,17.018,329198,164677,0,18,False,True,64,96,3.645355513296434e-05,0.9115496681471604,0.9121,0.911,0.44459424201479464,0.26616824380027415,0.2681037234385333,0.9387450114513434,3.433,22.2
model_0020.glb,poisson_9,ok,18.969,358724,179436,0,34,False,True,81,108,6.319091834989927e-05,0.907437632926934,0.9041,0.9108,0.44108583087685205,0.25259182320486523,0.2709235850526177,0.9383538198508282,3.524,24.27
model_0030.glb,baseline,ok,0.0,8220,5834,3118,11,False,True,157,176,0.0007926214151895086,0.9425854763415327,0.9389,0.9463,0.5129440296320178,0.012627088922560046,0.23537855155883317,0.9814494107398908,0.838,1.93
model_0030.glb,trimesh_gentle,ok,0.015,8220,5834,3118,11,False,True,157,176,0.0007926214151895086,0.9492492388722943,0.9501,0.9484,0.510690522811327,0.011139737894376087,0.23558553066111027,0.9820277993744055,0.808,1.56
model_0030.glb,largest_component,ok,0.175,496,289,80,0,False,True,1,1,0.0,0.1856636591961112,0.9321,0.1031,0.1620085322495988,0.2486075713877436,7.692011847505352,0.7820393270935447,2.787,3.54
model_0030.glb,components_keep,ok,0.256,6374,4164,1886,0,False,True,39,34,0.0,0.911317200942018,0.9446,0.8803,0.5080507970866875,0.10139649148124834,0.30236024030203085,0.9661633300219661,0.8,1.64
model_0030.glb,open3d_clean,ok,1.858,8159,4076,31,1,False,False,7,-18,8.161266628580756e-05,0.9425996180771575,0.942,0.9432,0.5045381032598308,0.1272372746005045,0.2356355024818957,0.9816653315130506,0.706,3.52
model_0030.glb,voxel_96,ok,0.186,31560,15740,0,0,True,True,1,-40,0.0,0.6463305538361337,0.6397,0.6531,0.04626349891958679,0.277715833159653,0.7418752565625835,0.8883522929447213,1.081,1.84
model_0030.glb,voxel_160,ok,0.589,86996,43426,0,0,True,True,1,-72,0.0,0.8859791309250079,0.8903,0.8817,0.1865577283681046,0.22097720873877047,0.4908361313743085,0.9015134872439632,1.481,2.82
model_0030.glb,voxel_224,ok,1.171,169144,84522,0,0,True,True,1,-50,0.0,0.9155778833546769,0.9111,0.9201,0.3487806192655551,0.19184729664130099,0.39562086134852503,0.9054507880819992,2.117,4.13
model_0030.glb,poisson_8,ok,14.908,322350,161175,0,2,False,True,9,2,4.136307890214116e-06,0.9445989413503363,0.9456,0.9436,0.502794908511831,0.13002603555598852,0.23901527469480568,0.9814133843906891,3.369,19.99
model_0030.glb,poisson_9,ok,20.737,398414,199207,0,0,True,True,8,0,0.0,0.9419499761128817,0.9421,0.9418,0.5071251503494951,0.13566532617981825,0.2391082167614892,0.980893650821645,3.92,26.58
model_0040.glb,baseline,ok,0.0,3169,2378,1405,3,False,True,85,94,0.0005501558774986246,0.986599178998081,0.9875,0.9857,0.6556499046742502,0.011872391346242604,0.19340214792460697,0.9857958973754573,0.756,1.74
model_0040.glb,trimesh_gentle,ok,0.008,3169,2378,1405,3,False,True,85,94,0.0005501558774986246,0.9864977192088259,0.985,0.988,0.6543441888892378,0.012297091535178327,0.19314269809841014,0.9857435026881016,0.73,1.35
model_0040.glb,largest_component,ok,0.124,180,120,58,0,False,True,1,1,0.0,0.1315508555131829,0.9815,0.0705,0.11904420054184411,0.24379423508730563,9.02413726752622,0.7731910149335045,1.732,2.41
model_0040.glb,components_keep,ok,0.165,2792,1993,1114,0,False,True,43,40,0.0,0.9716340296352276,0.9845,0.9591,0.6496452859226893,0.06604670178952579,0.21011029809513085,0.9816737854632884,0.779,1.55
model_0040.glb,open3d_clean,ok,1.879,3149,1571,7,2,False,False,4,-5,0.0004232804232804233,0.9842987706994899,0.9832,0.9854,0.6513999385932979,0.12423418022603686,0.19291255624026588,0.9859393622715288,0.628,3.34
model_0040.glb,voxel_96,ok,0.141,22442,11209,0,0,True,True,1,-12,0.0,0.7574363684344433,0.7412,0.7744,0.044114609286023614,0.25020808669886907,0.7292870520593445,0.8802159314403215,1.007,1.73
model_0040.glb,voxel_160,ok,0.372,60334,30139,0,0,True,True,1,-28,0.0,0.9508805552629346,0.9552,0.9466,0.24504824632902725,0.19838289362767403,0.4739250098652566,0.8951263926650563,1.243,2.23
model_0040.glb,voxel_224,ok,0.805,116486,58201,0,0,True,True,1,-42,0.0,0.9729881192184104,0.9764,0.9696,0.44774986041267706,0.13997384395348408,0.372076613607471,0.9027452183734795,1.745,3.38
model_0040.glb,poisson_8,ok,14.657,172372,86186,0,2,False,True,4,2,7.73526818174786e-06,0.9861997465012238,0.9867,0.9857,0.6486925389235018,0.12498008495090898,0.1957273951227794,0.9828464868187596,2.144,18.27
model_0040.glb,poisson_9,ok,16.883,178746,89395,0,11,False,True,24,33,4.102824235009772e-05,0.9849498756277044,0.9853,0.9846,0.6558823753615979,0.11269620134894363,0.19483415679069627,0.9835745545351833,2.224,20.46
model_0050.glb,baseline,ok,0.0,13593,13494,10151,201,False,True,1472,1823,0.00795598480050665,0.8427493325417723,0.842,0.8435,0.3407429493758757,0.03714729361069907,0.3104185083325232,0.9224666474349874,0.988,3.0
model_0050.glb,trimesh_gentle,ok,0.068,13593,13494,10151,201,False,True,1472,1823,0.00795598480050665,0.8397714098589903,0.8447,0.8349,0.345877334489237,0.04216984133311395,0.30957918741016865,0.9231737753548621,1.045,3.15
model_0050.glb,largest_component,ok,1.335,416,346,300,0,False,True,1,-12,0.0,0.1609987283717313,0.8707,0.0887,0.0867288925436219,1.0529517216315414,5.85614854297178,0.7424543337695997,1.077,3.38
model_0050.glb,components_keep,ok,1.466,6000,4695,3538,0,False,True,42,-74,0.0,0.7780978028308383,0.8243,0.7368,0.3071742313318575,1.050289002908552,0.38990739018211973,0.907910434456763,0.966,3.16
model_0050.glb,open3d_clean,ok,1.736,12662,5997,463,29,False,False,78,-541,0.0015104166666666666,0.8362992347238811,0.8371,0.8355,0.3416964588815603,0.5693639521923057,0.31298150137315833,0.9236462057573445,0.865,3.42
model_0050.glb,voxel_96,ok,0.581,43980,21806,0,0,True,True,1,-184,0.0,0.5876389347395663,0.5902,0.5851,0.09584872196089803,0.76108729523349,0.6747692167956256,0.8670560600603296,1.202,2.4
model_0050.glb,voxel_160,ok,1.709,124992,62204,0,0,True,True,1,-292,0.0,0.7447825993550318,0.7484,0.7412,0.18384987761712304,0.6890198879187722,0.4895408536647248,0.8782651558312051,1.839,4.29
model_0050.glb,voxel_224,ok,3.664,249374,124323,0,0,True,True,1,-364,0.0,0.7851967396836569,0.7836,0.7868,0.22464909859731882,0.689053166138268,0.4457241926106714,0.8865762238013752,2.807,7.49
model_0050.glb,poisson_8,ok,15.554,340130,170050,896,44,False,True,44,-419,8.617329842009091e-05,0.8288489111414435,0.8279,0.8298,0.3379970414196184,0.6106668598958921,0.32370041675400285,0.9179381483753989,3.559,20.91
model_0050.glb,poisson_9,ok,17.322,313286,156718,1106,55,False,True,64,-423,0.0001169150580217547,0.8379612291164451,0.8437,0.8323,0.33654090031148925,0.5870701856551868,0.3229313286757602,0.9148604229880868,3.277,22.4
